0,,3418309,0,70s3v5qRyCO/1PCdI6fVXnrW8FU/w+5CKRSa72xgcIo=,3,IHgtoxEBuUTHNbUeVs4hzptMY4n8rZKLbZg+Jh5fNG4=,wAmgn2H74cdoMuSFwJF3NaUEaudVBTZ0/HaNZBwIpEQ=
0,,3418314,0,70s3v5qRyCO/1PCdI6fVXnrW8FU/w+5CKRSa72xgcIo=,3,L52XDyhi9x9ChmVBZ1qavOFmnzPeVsvQ2QyGmBZcV4s=,ShNjeaoUeqGV2i9WMKEX9HTeuc9K2Fdfovibt7Mp6qI=
0,,3418319,0,70s3v5qRyCO/1PCdI6fVXnrW8FU/w+5CKRSa72xgcIo=,3,vq0IN3BWEbkDjYgYvkrVyH6OWoUoDwFFf3j/syEZzLA=,1A2GM17AzHRcKJcJet/oIF7FOORyFcAOcUSpR9Fqou8=
0,,3418324,0,70s3v5qRyCO/1PCdI6fVXnrW8FU/w+5CKRSa72xgcIo=,3,X+Vce15Yu3BCKb7Ttc6hvINAzdfG3NtYEDNNsPdMGKo=,seczVo7MBfi/kH3+eH/40Hxs0l2YKFtXFnamcvMjSQI=
0,,3418329,0,70s3v5qRyCO/1PCdI6fVXnrW8FU/w+5CKRSa72xgcIo=,3,EeK3DUWYi1P0vgBTp7wZdUos8UKj/+/FqudTLohMQ9M=,OEeQsaVr4kdGHFwQ2liQlDZ18529HEMmu6B6/3K1cBA=
0,,3418334,0,70s3v5qRyCO/1PCdI6fVXnrW8FU/w+5CKRSa72xgcIo=,3,noCrQkR+8CU32ibuNmNvobHFFGuXRZ2aM/ZvcMHaOg4=,ys6VJLz4Tz6SJxZJ7kwAZgxPgWnQAQiGIRIMcjOfU7I=
0,,3418339,0,70s3v5qRyCO/1PCdI6fVXnrW8FU/w+5CKRSa72xgcIo=,3,ORioZ5deSIAxIuzqmXo1Ivac+22YZbCucJEC0EqRbDc=,vnyDEfuZHSuCdaC9/e75DUMRro/rqh96Eb4I6sy1Vlc=
0,,3418356,0,70s3v5qRyCO/1PCdI6fVXnrW8FU/w+5CKRSa72xgcIo=,3,QGf5Bi+7GCnOYjucoJ9xKNPFf9bWGxoEA+M1A1JPvbQ=,fGRnr2XEPDr3kQsPccU/k1LELeeQonkj6hDpTP7ALkg=
0,,3418363,0,70s3v5qRyCO/1PCdI6fVXnrW8FU/w+5CKRSa72xgcIo=,3,HO9RaVGS/y7PpuPROMoq75iyAyG+zXqM9g6Tvy5fWH8=,sqjiCyXrA7ELryW0hfrlWgso+SOgl2bzpI64QYJnrgc=
0,,3418368,0,70s3v5qRyCO/1PCdI6fVXnrW8FU/w+5CKRSa72xgcIo=,3,mIF6r5X6TTau4MPuBTE+QevbEjjACcfyVeRTAU79lpg=,Uf/QCCjtbryfYhlweVpii4xGkiY/9ml5CzU9Wz1DEY4=
0,,3418375,0,70s3v5qRyCO/1PCdI6fVXnrW8FU/w+5CKRSa72xgcIo=,3,inYBvTIcGwrlGypZxG2zdn08Txy0qhqciqH1g5YMFDY=,Ht5Rcw+ruA4PNHThNLDPeMJ/dmBAYN6nvetqU6chlEI=
0,,3418380,0,70s3v5qRyCO/1PCdI6fVXnrW8FU/w+5CKRSa72xgcIo=,3,Pg+pSppriyZ7NBvUna6hRjiTnWxykaejs8G943VGjns=,n94656eMhdgR+7KdzDP21WgNQ5sV5B18lPsO7UwRmm4=
0,,3418385,0,70s3v5qRyCO/1PCdI6fVXnrW8FU/w+5CKRSa72xgcIo=,3,k+zdUudIbBQDDLITJLDOG6tynb7k+wBVZgnHyiI2+WU=,lmfS/B7fCeKr5XcDKfFYiDwuFhLp5H0a7zzNvfR8/NI=
0,,3418390,0,70s3v5qRyCO/1PCdI6fVXnrW8FU/w+5CKRSa72xgcIo=,3,LsgmVCh2BpMrFrIsSDs+J7V3m0Cszc1/3zo9pfMhIC0=,gFQJLJB379AmEYc87O3XuI5Ld8Kgi8IxXwXYLROmsTM=
0,,3418395,0,70s3v5qRyCO/1PCdI6fVXnrW8FU/w+5CKRSa72xgcIo=,3,Ru4vUIpcJzjdWM1k7VnE3DTNRlbf7v26fiMoQlSSQN4=,QzR9tCeGGxqmTmnJbN5W3htwdjP0s1VNMI3dYfA7tII=
0,,3418400,0,70s3v5qRyCO/1PCdI6fVXnrW8FU/w+5CKRSa72xgcIo=,3,M8W+onhYTk9sQ+I2Qdb0j0F44ckSG/WljD9iYQ2SZpg=,YzlovDbTAkttJ/a313t+tqbGId0sM6p2wPIiPq86euc=
0,,3418405,0,70s3v5qRyCO/1PCdI6fVXnrW8FU/w+5CKRSa72xgcIo=,3,BYQh99FwV+DE3W9a1npuYBtyFK5iTHZpTH6vuu6C+w8=,q6nwarTUw/Xct0ONQEdblvVhW8uWTquTp8C5la5YfRE=
0,,3418412,0,70s3v5qRyCO/1PCdI6fVXnrW8FU/w+5CKRSa72xgcIo=,3,hXOXA/dz+ysqlljOubJwaJz5TmEf3p23OLOh5ZhzqNw=,1RKVmgG/XkAlfbPC5Gr4UmDDphviapIsdSQS90bgh4M=
0,,3418417,0,70s3v5qRyCO/1PCdI6fVXnrW8FU/w+5CKRSa72xgcIo=,3,tXH9TowC8uMrV4E+t9oATdhlbJdpvJIpA/OmRJtsbXU=,r8s1yaGXAwcGZA8nTpMDwv6XyREkN9Wlz9gdrwglPBQ=
0,,3418422,0,70s3v5qRyCO/1PCdI6fVXnrW8FU/w+5CKRSa72xgcIo=,3,hH+gDKZvjLryNn9plhjBf29RMJfRJfbGe2qMIZK3yE8=,ki4wuuhTUnSkEHDKuVQjErqHGKC6a3HEYKN+U3AsH84=
0,,3418427,0,70s3v5qRyCO/1PCdI6fVXnrW8FU/w+5CKRSa72xgcIo=,3,RB25Bj2iXSw+NamFKkPr2ivrWzGtBQFUhC7hscqDEWE=,K8pCLs/iCOcgjustZG65p4COKlnEUPZV0iIi28bjXOA=
0,,3418432,0,70s3v5qRyCO/1PCdI6fVXnrW8FU/w+5CKRSa72xgcIo=,3,OvVoN5NZIt1w8r9v6zM3JPOPj8nZCoWC8hBDlweggms=,493+8yvvYU+khb005J6xkPb/uU9fk4bOqXm4+na1uOE=
0,,3418437,0,70s3v5qRyCO/1PCdI6fVXnrW8FU/w+5CKRSa72xgcIo=,3,NuX0T/LmrGMDmi/hoJuMboS02hqQHdsRbUZxdtJ3Njc=,KG5Ef/IEdTzkIIJ7iUphdRn3VhraeXpZr0p1Wk5v0sw=
0,,3418442,0,70s3v5qRyCO/1PCdI6fVXnrW8FU/w+5CKRSa72xgcIo=,3,agg+iJS8cS2LkWyWggO9QYlkA6jbzCoqnOMbmTUk+G0=,iMveNXJCz+ombtXvlbjzr0m1VrnYONGjrWHETZEDixc=
0,,6590371,0,70s3v5qRyCO/1PCdI6fVXnrW8FU/w+5CKRSa72xgcIo=,3,tOGGV9YnzwN8kCzYAUGSxSvOYsiPXlETXyEGthCvhtg=,rdXRpXp7qmOg5mNwurtMjYVZ2Ibv2NKh7ZFIA18ck5Q=
0,,6590376,0,70s3v5qRyCO/1PCdI6fVXnrW8FU/w+5CKRSa72xgcIo=,3,nwGRVSjmFOJKea07fnUxOTw9+ginLoTr3rNxFrDGX44=,6sjjl+/xaL5ZUBp6PLqprYxQf/W0mfyV8/OGT5CmeMM=
